Gene names,riBAQ 17,riBAQ 18,riBAQ 35,riBAQ 36,riBAQ 19,riBAQ 20,riBAQ 21,riBAQ 22,riBAQ 23,riBAQ 37,riBAQ 38,riBAQ 39,riBAQ 40,riBAQ 41,riBAQ 24,riBAQ 25,riBAQ 26,riBAQ 42,riBAQ 43
CPNE2,3.45E-05,3.44E-05,1.19E-05,2.26E-05,4.62E-05,4.28E-05,3.75E-05,2.27E-05,3.01E-05,2.49E-05,2.98E-05,2.69E-05,2.01E-05,2.02E-05,2.95E-05,7.71E-05,5.40E-05,7.20E-05,7.34E-05
CPNE3,0.000339317,0.000333995,0.00021411,0.000270413,0.000368991,0.000277976,0.000285163,0.000277571,0.000266156,0.000256138,0.000313172,0.000348301,0.000255841,0.000226829,0.000433838,0.000580349,0.000723756,0.000861741,0.000681779
CPNE4,4.31E-05,7.39E-05,8.84E-05,7.84E-05,4.91E-05,3.21E-05,1.98E-05,3.44E-05,3.19E-05,3.82E-05,3.76E-05,1.78E-05,1.49E-05,4.87E-05,1.80E-05,0,2.72E-05,0,0
CPNE5,0.00028028,0.000302134,0.000376064,0.000339626,0.000326903,0.000201297,0.000136805,0.000200863,0.000223698,0.000287649,0.000228611,0.000227344,0.000133827,0.000323726,6.71E-05,3.67E-05,7.19E-05,6.97E-05,2.72E-05
CPNE6,0.000206976,0.000347632,0.000269422,0.000477797,0.000658379,0.000434052,0.000331561,0.000340313,0.000328639,0.000243609,0.000342028,0.000217025,0.000152007,0.000321549,0.000351312,0.000334369,0.000411364,0.000571338,0.000228643
CPNE8,6.09E-05,4.47E-05,3.72E-05,1.45E-05,1.83E-05,3.20E-05,5.29E-05,2.74E-05,2.11E-05,3.16E-05,4.32E-05,1.61E-05,6.78E-06,2.30E-05,9.89E-06,8.14E-06,1.68E-05,0,1.05E-05
CPPED1,2.75E-05,2.18E-05,2.28E-05,0,2.91E-05,4.05E-05,3.34E-05,4.11E-05,3.92E-05,0,2.83E-05,3.36E-05,5.39E-05,3.82E-05,3.98E-05,3.77E-05,4.58E-05,2.50E-05,3.03E-05
CPT1A,0,0,0,0,1.45E-05,3.09E-05,0,0,8.34E-06,1.15E-05,6.73E-06,5.18E-06,0,0,4.57E-05,8.95E-05,7.16E-05,0.000106319,0.000100563
CRABP1,0.000105813,0,6.85E-05,0,3.17E-05,0.000131426,0,0,0.000337382,0.000243171,0,0.00028023,0,4.61E-05,0.000245062,0.000484555,8.82E-05,0.000372807,0.00036018
CRAT,2.78E-05,0,0,1.14E-05,0,0,1.48E-05,0,0,7.77E-06,0,0,0,0,1.58E-05,1.29E-05,1.89E-05,0,3.30E-05
CRK,4.46E-05,6.76E-05,4.04E-05,3.87E-05,0,0,0,5.40E-05,0,0,0,0,6.33E-05,4.53E-05,0,0,0,0,0
CRKL,7.37E-05,0.00012807,0.000107557,0.000114689,5.18E-05,9.46E-05,7.55E-05,6.66E-05,0,6.87E-05,0.000123769,6.92E-05,5.96E-05,6.08E-05,5.62E-05,6.57E-05,2.24E-05,8.03E-05,7.03E-05
CRMP1,0.000802945,0.000758791,0.001020183,0.001145617,0.000798587,0.000627147,0.000741313,0.000823246,0.000795088,0.000791385,0.000585157,0.000542825,0.000501587,0.001097116,0.00047844,0.000349914,0.00039686,0.00032956,0.00036654
CRTAC1,2.66E-05,1.78E-05,4.03E-05,0,2.38E-05,3.26E-05,1.94E-05,0,1.60E-05,2.52E-05,3.85E-05,5.14E-05,4.50E-05,2.87E-05,3.26E-05,3.08E-05,2.35E-05,0,1.85E-05
