"","kMEgreen","kMEturquoise","kMEblack","kMEpink","kMEgrey"
"SLC25A3",0.626991508682194,0.930549502844971,-0.62206831214051,-0.417344517315079,0.297053164770484
"SLC25A4",0.630793815254446,0.938934321572571,-0.637355332272366,-0.421410499783171,0.28743349448328
"SLC25A5",0.67354385892401,0.943873159227244,-0.649861396784918,-0.483615157225882,0.324901728919901
"SLC25A6",0.668969224764608,0.936639405216915,-0.591855463238506,-0.448915076559386,0.385644028205535
"SLC2A1",0.135670628307974,0.484082033765749,-0.472376519079357,-0.286586321498752,-0.127850025256238
"SLC2A13",-0.240228318502151,-0.156949347383547,0.532664986018501,0.213569441130185,0.511487311002531
"SLC2A3",-0.672477129171417,-0.751082207224318,0.821973380365383,0.56586919754424,0.130461526556843
"SLC2A5",0.728176672796326,0.757288461993413,-0.598832739581797,-0.232898713498788,0.302047887260094
"SLC30A1",0.470881527989193,0.660541440212427,-0.191017211027049,-0.161509262835198,0.660616068121559
"SLC39A12",0.664713757462115,0.762120930169102,-0.583500034700542,0.0131692240632253,0.166272745256071
"SLC3A2",0.68590201328358,0.907917399327633,-0.599045046450375,-0.449916346891327,0.390766159641245
"SLC44A1",0.297833952099385,0.444659039550124,-0.680309881290014,-0.426312971924155,-0.309522393061361
"SLC44A2",0.709812648302078,0.939166864643211,-0.721418494700697,-0.513769232230649,0.266924481191974
"SLC4A1",0.75300336122932,0.80028266212312,-0.620996870111671,-0.400925708226785,0.179558792286858
"SLC4A10",-0.421146830145099,-0.477631857072919,0.374559259345014,0.201188382132557,-0.0246715276564273
"SLC4A4",-0.448428877997823,-0.538888262438243,0.542143326900869,0.310628043709671,0.177225142012928
"SLC6A1",-0.321602635185888,-0.103483155002194,0.279127423653335,0.142138091881574,0.244987768990073
"SLC6A11",0.12944425047477,0.0980568113724248,-0.158788680121226,-0.15367610714018,-0.0964565050428972
"SLC6A17",-0.225545931108718,-0.467089272198513,0.57035212375315,0.956259997187398,0.194046452780504
"SLC7A11",0.410672364406413,0.649443465380491,-0.43891166934133,-0.461018696644038,0.306459672051281
"SLC7A5",0.180937278711464,0.642447012932194,-0.641535589193513,-0.590852409027839,-0.0771638261873785
"SLC8A1",-0.629864444826701,-0.724332865767261,0.863350375352075,0.455251525055004,0.209846252852542
"SLC8A2",-0.728194998142357,-0.802496868100406,0.924846098435065,0.546059902416872,0.143772136093145
"SLC9A1",-0.530587106255741,-0.585749392223578,0.754869966718523,0.324454156487456,0.248622041108416
"SLC9A3R1",0.830957228128601,0.7189117680094,-0.629212714361607,-0.389330204515217,0.231947218120621
"SLC9A3R2",0.787925403129365,0.730926136504369,-0.599644690740694,-0.363771987370634,0.287840384176444
"SMPD3",-0.570107366073902,-0.64804819947911,0.831719211053302,0.332174050955851,0.243546338161062
"SMS",0.489020798500827,0.0850789864198726,0.314153670283704,0.150093929048735,0.708009058406422
"SNAP23",0.801065126211103,0.829566922909021,-0.71620071794874,-0.249261926943518,0.137539135222817
"SNAP25",-0.7022099580221,-0.807297121029343,0.937075092059326,0.503439150383659,0.176634395701603
"SNAP91",-0.704089535832834,-0.826349973075664,0.908958699884364,0.756651087535307,0.122434615594981
"SNCA",-0.741781183971826,-0.838331433331757,0.758796365580226,0.510701128869367,-0.148829148467695
"SNCG",-0.855351770940975,-0.895103210379017,0.680933037443734,0.336507685175555,-0.330887508778318
"SND1",0.57746260261287,0.656921014752982,-0.310684390198651,0.0289813087596563,0.48444372480879
"SNTA1",-0.0816029773620575,-0.132387100199194,0.0765139808389242,0.464330191590686,-0.0891771815572581
"SNTB1",0.776758463688056,0.720450443452996,-0.549790528415269,-0.0879954299285205,0.273991590349999
"SNX1",0.0587155589994188,-0.399501319106492,0.517795561271797,0.533200412225932,0.26603967054374
"SNX2",0.490652131575981,0.16759315342357,0.132421564889029,0.544797338824281,0.505186040874853
"SNX27",0.358004445663875,0.413284880552214,0.010311084819172,0.0652329499750121,0.514041797471464
"SNX4",-0.208478480584564,-0.411845715890231,0.801467967837106,0.463840095995936,0.57130433292317
"SNX5",0.693869942403592,0.537781276169231,-0.372187634722281,-0.0760492022409019,0.174345474586285
"SNX6",0.167109000501797,-0.125629757631148,0.28462167368666,0.553456788125752,0.230726793480947
"SOD1",-0.0274578575193875,-0.0111325092055438,-0.38142865405386,-0.390264119752764,-0.657971307936791
"SOD2",0.707010473272515,0.89919609113305,-0.815062635667581,-0.643645906276574,0.106594039404864
"SOGA3",-0.557657001466103,-0.690394755680981,0.894442667440929,0.381992318838934,0.295740332766155
"SORBS1",0.292693351508838,0.515490731256786,-0.753665355597605,-0.760316243122965,-0.383845788201626
"SORCS2",0.416560488587855,0.665509014929338,-0.483781538800048,-0.398523809498015,0.231495107525591
"SORD",0.65315621555288,0.921587277823053,-0.764288531444143,-0.500031438882605,0.145175127203839
"SORL1",0.942621798636906,0.90510424657339,-0.661104375042652,-0.365501291870929,0.360311740190555
"SORT1",0.784586505038767,0.816790665528521,-0.606673055868543,-0.176627582680786,0.275352201760692
"SPARC",0.783492756329533,0.933069130146905,-0.583695798744306,-0.446831496100195,0.373488543278014
"SPARCL1",0.389603176760054,0.541285416309697,-0.680570163317286,-0.252020384232029,-0.377293400139371
"SPG20",0.495864157857083,0.609636545683339,-0.182033489934198,-0.189701576189799,0.570818480297485
"SPR",0.50806758021819,0.792382529444435,-0.72507163241414,-0.689029938357573,0.0253386115323579
"SPTAN1",-0.113740961862436,-0.0971717009801158,-0.0446587860992563,0.455934423775328,-0.294108231859427
"SPTBN1",-0.170455934458132,-0.200923355717838,0.142420483881229,0.648192325196566,-0.128445125204685
"SPTBN2",0.0388884053072312,-0.0889226905496193,-0.0990497480586066,0.112129378925141,-0.369664851953503
"SQRDL",0.735996683139913,0.953076522525785,-0.632513027792949,-0.490655311440789,0.325886891418853
"SRCIN1",-0.331683620226858,-0.369874541418665,0.754618202072499,0.345711937589469,0.513320321914961
"SRGAP2",0.3487038059781,0.454862972609232,-0.080310485410234,-0.30596613229833,0.490361669179192
"SRGAP3",-0.432096021563158,-0.31213924739718,0.701523494650127,0.364082497542967,0.392617558432211
"SRI",0.959722103610108,0.794377067117321,-0.548974424294225,-0.308087650221458,0.372570883685558
"SRM",-0.0397505245354336,0.216475274934341,-0.208491438411063,-0.354573499417256,-0.116514843051742
"SRR",0.254814093289087,0.202587463670871,0.0878267532013866,-0.088104357803569,0.407393051832851
"SSB",0.466891853219405,0.464259683201942,-0.265889663925608,-0.117752397572687,0.227510081263927
"SSBP1",0.684475598062771,0.898789590429079,-0.873101237228908,-0.622881674457753,-0.0568696630700058
"ST13",0.544432944766865,0.461959732496551,-0.441222000627251,-0.579509119289983,-0.00910981096480166
"STAB1",0.529305892923946,0.731975418559815,-0.513794117612833,-0.414511486776694,0.229663215044849
"STAM",-0.536940736530778,-0.754773941505699,0.783654098561787,0.661986692938759,0.0754979505473692
"STAT1",0.373820550190834,0.278010853964942,0.0431557073520412,0.164648457027013,0.481173430749293
"STAT3",0.765371514326471,0.948963264256948,-0.692476419173181,-0.541014157459833,0.283394403042693
"STIP1",-0.606240007830119,-0.664764018467788,0.450239202893954,0.0525232739206268,-0.390095743404788
"STK39",0.16057616302606,-0.0116135878589291,0.0775355812589518,0.416790146604943,0.300008467619367
"STMN1",-0.821247410639819,-0.891457796392896,0.754160220621759,0.427189104208091,-0.250577605795399
"STOM",0.520934298616474,0.76305461989993,-0.857443820306845,-0.484415374864038,-0.147340631231656
"STOML2",0.6948978010674,0.923035888980891,-0.581452046166868,-0.439344867822082,0.317322845493458
"STON2",0.790029894391797,0.916196214700035,-0.617862797882017,-0.211390954400179,0.32564458729189
"STRAP",-0.0485532571579919,-0.161550798186928,0.528191252069649,0.276859636069609,0.561695452501218
"STUB1",0.0201528987435537,-0.00966431090937563,0.329905306800071,-0.028005848199939,0.318908445302108
"STX12",-0.429079432204887,-0.458485888704353,0.775049582875011,0.377002730362049,0.447054838912957
"STX1A",-0.656793547396147,-0.775022785990484,0.960339613009335,0.537530993802051,0.247032329870362
"STX1B",-0.757274083295707,-0.886060931454272,0.887130241593151,0.505544507245342,0.0560990859795271
"STX4",0.761325401692336,0.538903560994255,-0.522163397359542,-0.0186744698159092,0.175527727465143
"STX7",-0.436674709891033,-0.594330385232822,0.812689128162579,0.291630812588689,0.326796745951099
"STXBP1",-0.573242236985062,-0.723639853140673,0.992043408747322,0.569854838372014,0.386817089945849
"STXBP3",0.889541127566416,0.631239194197194,-0.422660567740316,-0.283506010413618,0.453117984993812
"STXBP5",-0.447789630682261,-0.595455227786277,0.964813177549062,0.581940026517937,0.494554006696386
"STXBP5L",-0.322849983746615,-0.505697979183273,0.898869215362471,0.477859312895747,0.568171074785512
"SUGT1",-0.223513392808192,-0.477211760623063,0.830931569170444,0.446018036016979,0.472991973997327
"SULT4A1",-0.652314132160292,-0.770901090060205,0.890214718933908,0.548267005264119,0.160732510911758
"SUSD2",0.659825932177491,0.906023299688217,-0.587934649141982,-0.409254067772719,0.286487405089833
"SV2A",-0.330176748109574,-0.555997827551677,0.705051222204482,0.959783951637301,0.202346286283383
"SV2B",-0.576377141646227,-0.719004157561091,0.845405685698406,0.872977012633271,0.149131939381236
"SYN1",-0.755531638461795,-0.810596540564057,0.871349630332133,0.537347145966875,0.0965466007852577
"SYN2",-0.61415682590482,-0.677813425016782,0.780720523169586,0.518463615096768,0.179299756906503
"SYN3",-0.542323611234863,-0.595861534229383,0.762059935000743,0.337991633319979,0.257437820000313
