,Gene,Comparison,Significance
PiD_vs_CTL.ATP2B1,ATP2B1,PiD_vs_CTL,Significant
PiD_vs_CTL.CNRIP1,CNRIP1,PiD_vs_CTL,Significant
PiD_vs_CTL.ALDH7A1,ALDH7A1,PiD_vs_CTL,Significant
PiD_vs_CTL.PGM2L1,PGM2L1,PiD_vs_CTL,Significant
PiD_vs_CTL.RAP1GAP,RAP1GAP,PiD_vs_CTL,Significant
PiD_vs_CTL.TTYH2,TTYH2,PiD_vs_CTL,Significant
PiD_vs_CTL.ARF1,ARF1,PiD_vs_CTL,Significant
PiD_vs_CTL.KIF21A,KIF21A,PiD_vs_CTL,Significant
PiD_vs_CTL.FLNB,FLNB,PiD_vs_CTL,Significant
PiD_vs_CTL.CPM,CPM,PiD_vs_CTL,Significant
PiD_vs_CTL.STOM,STOM,PiD_vs_CTL,Significant
PiD_vs_CTL.LRRC40,LRRC40,PiD_vs_CTL,Significant
PiD_vs_CTL.CADPS,CADPS,PiD_vs_CTL,Significant
PiD_vs_CTL.WASF1,WASF1,PiD_vs_CTL,Significant
PiD_vs_CTL.A2M,A2M,PiD_vs_CTL,Significant
PiD_vs_CTL.PACS1,PACS1,PiD_vs_CTL,Significant
PiD_vs_CTL.RAB6A,RAB6A,PiD_vs_CTL,Significant
PiD_vs_CTL.PFKP,PFKP,PiD_vs_CTL,Significant
PiD_vs_CTL.PLCD3,PLCD3,PiD_vs_CTL,Significant
PiD_vs_CTL.GPRIN1,GPRIN1,PiD_vs_CTL,Significant
PiD_vs_CTL.SCN2B,SCN2B,PiD_vs_CTL,Significant
PiD_vs_CTL.RAB3C,RAB3C,PiD_vs_CTL,Significant
PiD_vs_CTL.USP14,USP14,PiD_vs_CTL,Significant
PiD_vs_CTL.COPS5,COPS5,PiD_vs_CTL,Significant
PiD_vs_CTL.PHYHIP,PHYHIP,PiD_vs_CTL,Significant
PiD_vs_CTL.GABBR1,GABBR1,PiD_vs_CTL,Significant
PiD_vs_CTL.MAPK10,MAPK10,PiD_vs_CTL,Significant
PiD_vs_CTL.SYNJ1,SYNJ1,PiD_vs_CTL,Significant
